"date","close","volume","open","high","low"
"2018/03/06","50.7100","38857120.0000","50.1600","51.3300","50.1500"
"2018/03/05","49.7500","30674070.0000","48.5700","49.7950","48.0410"
"2018/03/02","48.9800","33220800.0000","47.2000","49.0500","46.9600"
"2018/03/01","47.8400","36270880.0000","49.5000","49.7150","47.4700"
"2018/02/28","49.2900","34511570.0000","50.1800","50.3400","49.2800"
"2018/02/27","49.9100","43159590.0000","49.3700","50.9000","49.3100"
"2018/02/26","49.1100","26437220.0000","48.2000","49.1300","48.1000"
"2018/02/23","47.7300","25717400.0000","46.3400","47.7900","46.3050"
"2018/02/22","45.8000","16640930.0000","46.1400","46.5600","45.6200"
"2018/02/21","45.9400","27496730.0000","46.6700","47.0600","45.9200"
"2018/02/20","46.3200","25383290.0000","45.4600","46.7100","45.3900"
"2018/02/16","45.5600","21472200.0000","45.8150","46.5900","45.5100"
"2018/02/15","45.9200","22260230.0000","45.8800","45.9900","44.9500"
"2018/02/14","45.3800","19883260.0000","44.0700","45.5100","44.0400"
"2018/02/13","44.4600","19449400.0000","44.5900","44.7750","44.2550"
"2018/02/12","44.8300","28188450.0000","44.1500","45.1600","44.0900"
"2018/02/09","43.9500","49182190.0000","43.5000","44.2800","42.0400"
"2018/02/08","42.7500","42432110.0000","45.2800","45.4200","42.7400"
"2018/02/07","45.2000","37453270.0000","44.5800","46.3000","44.3400"
"2018/02/06","44.9100","57728200.0000","44.0200","44.9300","43.0302"
"2018/02/05","44.5200","47499540.0000","46.3500","47.2600","44.5000"
"2018/02/02","46.1500","28434120.0000","47.3200","47.7900","46.1000"
"2018/02/01","47.6500","28805560.0000","47.6950","48.4700","47.4500"
"2018/01/31","48.1400","41515080.0000","49.2300","49.2500","47.5600"
"2018/01/30","48.7900","32738210.0000","49.4800","50.0600","48.7400"
"2018/01/29","49.9800","46277780.0000","49.6000","50.8500","49.3700"
"2018/01/26","50.0800","86727500.0000","48.3800","50.1500","48.1200"
"2018/01/25","45.3000","35797450.0000","45.8800","46.3700","45.1700"
"2018/01/24","45.5100","33731400.0000","45.9000","46.1300","44.9600"
"2018/01/23","46.0600","21894840.0000","45.8100","46.0900","45.6300"
"2018/01/22","45.7500","27550350.0000","44.8000","45.7900","44.7900"
"2018/01/19","44.8200","24817410.0000","44.6200","44.8900","44.2500"
"2018/01/18","44.4800","26743940.0000","44.4000","44.7350","44.1700"
"2018/01/17","44.3900","32252830.0000","43.5450","44.4500","43.5100"
"2018/01/16","43.1400","37904730.0000","43.5500","43.7900","42.8850"
"2018/01/12","43.2400","29935150.0000","43.4500","43.6000","43.0100"
"2018/01/11","43.4100","35303590.0000","42.8000","43.5800","42.4500"
"2018/01/10","42.5000","45367970.0000","43.3300","43.6000","42.4400"
"2018/01/09","43.6200","43900140.0000","44.7000","44.8400","43.4900"
"2018/01/08","44.7400","33707600.0000","44.2700","44.8400","43.9600"
"2018/01/05","44.7400","41777780.0000","44.4300","45.1500","43.9000"
"2018/01/04","44.4300","89144860.0000","43.5200","44.6500","42.6900"
"2018/01/03","45.2600","115617400.0000","45.4700","46.2100","43.6500"
"2018/01/02","46.8500","22972240.0000","46.3800","46.9000","46.2100"
"2017/12/29","46.1600","17365120.0000","46.2100","46.4900","46.0900"
"2017/12/28","46.2200","9380506.0000","46.3600","46.3600","45.9500"
